No,Tanggal,Nama,Jenis Sepatu,Jenis cuci,Harga,Discount,Total harga,Keterangan,Status Pembayaran,Kang Cuci,is_synthetic
1,2025-01-02,Bella,Hoka,Reparasi,50000,5000,45000,Synthetic,Paid,Rio,True
2,2025-01-10,Bella,Patrobas,Deep Clean,40000,0,40000,Synthetic,Paid,Rio,True
3,2025-01-11,Andi,On Cloud,Deep Clean,45000,10000,35000,Synthetic,Paid,Vian,True
4,2025-01-11,Andi,Asics,Deep Clean,65000,5000,60000,Synthetic,Paid,Amory,True
5,2025-01-14,Reza,Adidas,Deep Clean,65000,10000,55000,Synthetic,Paid,Rio,True
6,2025-01-16,Budi,Wakai,Deep Clean,45000,10000,35000,Synthetic,Paid,Rio,True
7,2025-01-16,Gita,Compass,Deep Clean,60000,5000,55000,Synthetic,Paid,Amory,True
8,2025-01-17,Oscar,Vans,Deep Clean,50000,5000,45000,Synthetic,Paid,Amory,True
9,2025-01-19,Fajar,On Cloud,Deep Clean,45000,0,45000,Synthetic,Paid,Amory,True
10,2025-01-19,Chandra,Skechers,Deep Clean,65000,0,65000,Synthetic,Paid,Vian,True
11,2025-01-19,Bella,Converse,Deep Clean,65000,10000,55000,Synthetic,Paid,Vian,True
12,2025-01-21,Chandra,Converse High,Deep Clean,45000,5000,40000,Synthetic,Paid,Amory,True
13,2025-01-22,Putri,Onitsuka,Deep Clean,40000,0,40000,Synthetic,Paid,Rio,True
14,2025-01-23,Chandra,Diadora,Deep Clean,45000,0,45000,Synthetic,Paid,Rio,True
15,2025-01-23,Wulan,Adidas,Deep Clean,50000,0,50000,Synthetic,Paid,Vian,True
16,2025-01-24,Xena,Warrior,Deep Clean,40000,0,40000,Synthetic,Paid,Amory,True
17,2025-01-27,Wulan,Tas,Tas,90000,0,90000,Synthetic,Paid,Vian,True
18,2025-01-28,Fajar,UnderArmour,Deep Clean,50000,0,50000,Synthetic,Paid,Amory,True
19,2025-01-30,Eko,Tas,Tas,30000,0,30000,Synthetic,Paid,Rio,True
20,2025-02-02,Mario,Hoka,Deep Clean,60000,0,60000,Synthetic,Paid,Vian,True
21,2025-02-04,Karin,Skechers,Deep Clean,45000,5000,40000,Synthetic,Paid,Vian,True
22,2025-02-05,Oscar,Vans,Deep Clean,45000,0,45000,Synthetic,Paid,Vian,True
23,2025-02-07,Bella,Hoka,Deep Clean,50000,10000,40000,Synthetic,Paid,Rio,True
24,2025-02-07,Dina,Reebok,Deep Clean,50000,0,50000,Synthetic,Paid,Rio,True
25,2025-02-08,Erwin,Wakai,Deep Clean,60000,5000,55000,Synthetic,Paid,Amory,True
26,2025-02-09,Mario,Converse High,Deep Clean,40000,10000,30000,Synthetic,Paid,Amory,True
27,2025-02-11,Fira,Puma,Deep Clean,65000,5000,60000,Synthetic,Paid,Rio,True
28,2025-02-18,Julia,Warrior,Deep Clean,50000,0,50000,Synthetic,Paid,Rio,True
29,2025-02-18,Alif,Compass,Deep Clean,60000,0,60000,Synthetic,Paid,Amory,True
30,2025-02-20,Tono,Diadora,Deep Clean,40000,5000,35000,Synthetic,Paid,Vian,True
