Tanggal,Nama Barang,Merk,Harga,Jumlah,Total Harga,Keterangan,is_synthetic
2025-01-01,Insole Brush,HYPOSPOT,20962,1,20962,,True
2025-01-03,Eraser Suede,Undersole,37000,1,37000,,True
2025-01-04,Parfume Sepatu,Bowin,15400,2,30800,,True
2025-01-05,Andrrows Shoe Cleaner,Andrrows,128800,1,128800,,True
2025-01-05,Leather Balm,Simplycist,31804,1,31804,,True
2025-01-05,Silica Gel,General,16650,1,16650,,True
2025-01-06,Spons,Apen,13772,1,13772,,True
2025-01-07,Microfiber,Olaf,32500,3,97500,,True
2025-01-11,Plastik Sepatu,No name,85000,1,85000,,True
2025-01-25,Amory,Gaji,30000,2,60000,Gaji January 2025 - Deep Clean,True
2025-01-25,Amory,Gaji,25000,1,25000,Gaji January 2025 - Tas,True
2025-01-25,Rio,Gaji,30000,5,150000,Gaji January 2025 - Deep Clean,True
2025-01-25,Rio,Gaji,25000,1,25000,Gaji January 2025 - Tas,True
2025-01-25,Vian,Gaji,30000,3,90000,Gaji January 2025 - Deep Clean,True
2025-01-25,Vian,Gaji,25000,1,25000,Gaji January 2025 - Tas,True
2025-02-09,Plastik Sepatu,No name,85000,1,85000,,True
2025-02-25,Amory,Gaji,30000,4,120000,Gaji February 2025 - Deep Clean,True
2025-02-25,Amory,Gaji,20000,1,20000,Gaji February 2025 - Fast Clean,True
2025-02-25,Amory,Gaji,25000,1,25000,Gaji February 2025 - Tas,True
2025-02-25,Rio,Gaji,30000,6,180000,Gaji February 2025 - Deep Clean,True
2025-02-25,Rio,Gaji,20000,1,20000,Gaji February 2025 - Fast Clean,True
2025-02-25,Rio,Gaji,25000,2,50000,Gaji February 2025 - Tas,True
2025-02-25,Vian,Gaji,30000,7,210000,Gaji February 2025 - Deep Clean,True
2025-03-03,Andrrows Shoe Cleaner,Andrrows,128800,1,128800,,True
2025-03-04,Plastik Sepatu,No name,85000,1,85000,,True
2025-03-05,Spons,Apen,13772,1,13772,,True
2025-03-06,Silica Gel,General,16650,1,16650,,True
2025-03-25,Amory,Gaji,30000,6,180000,Gaji March 2025 - Deep Clean,True
2025-03-25,Amory,Gaji,20000,1,20000,Gaji March 2025 - Fast Clean,True
2025-03-25,Rio,Gaji,30000,5,150000,Gaji March 2025 - Deep Clean,True
2025-03-25,Rio,Gaji,25000,1,25000,Gaji March 2025 - Tas,True
2025-03-25,Vian,Gaji,30000,2,60000,Gaji March 2025 - Deep Clean,True
2025-04-09,Parfume Sepatu,Bowin,15400,2,30800,,True
2025-04-11,Microfiber,Olaf,32500,3,97500,,True
2025-04-11,Plastik Sepatu,No name,85000,1,85000,,True
2025-04-25,Amory,Gaji,30000,6,180000,Gaji April 2025 - Deep Clean,True
2025-04-25,Amory,Gaji,15000,1,15000,Gaji April 2025 - Karpet,True
2025-04-25,Rio,Gaji,30000,7,210000,Gaji April 2025 - Deep Clean,True
2025-04-25,Vian,Gaji,30000,6,180000,Gaji April 2025 - Deep Clean,True
2025-04-25,Vian,Gaji,15000,1,15000,Gaji April 2025 - Karpet,True
2025-05-02,Andrrows Shoe Cleaner,Andrrows,128800,1,128800,,True
2025-05-04,Plastik Sepatu,No name,85000,1,85000,,True
2025-05-05,Eraser Suede,Undersole,37000,1,37000,,True
2025-05-05,Silica Gel,General,16650,1,16650,,True
2025-05-08,Spons,Apen,13772,1,13772,,True
2025-05-10,Leather Balm,Simplycist,31804,1,31804,,True
2025-05-25,Amory,Gaji,30000,5,150000,Gaji May 2025 - Deep Clean,True
2025-05-25,Rio,Gaji,30000,5,150000,Gaji May 2025 - Deep Clean,True
2025-05-25,Rio,Gaji,15000,1,15000,Gaji May 2025 - Karpet,True
2025-05-25,Rio,Gaji,25000,1,25000,Gaji May 2025 - Tas,True
2025-05-25,Vian,Gaji,30000,5,150000,Gaji May 2025 - Deep Clean,True
